loss,accuracy,val_loss,val_accuracy,lr
0.7139429450035095,0.7384393215179443,0.23793692886829376,0.9211136698722839,1e-04
0.34898996353149414,0.8742774724960327,0.2086850106716156,0.9327146410942078,1e-04
0.2740814685821533,0.902890145778656,0.19426220655441284,0.94199538230896,1e-04
0.22120870649814606,0.9231213927268982,0.14086993038654327,0.9651972055435181,1e-04
0.1772143393754959,0.9372832179069519,0.18726976215839386,0.9466357231140137,1e-04
0.15560153126716614,0.9456647634506226,0.16929948329925537,0.9466357231140137,1e-04
0.11512171477079391,0.9606936573982239,0.1751716583967209,0.953596293926239,5e-05
0.08709338307380676,0.9736994504928589,0.18692386150360107,0.9489558935165405,5e-05
0.0785268023610115,0.9763005971908569,0.17919544875621796,0.953596293926239,2.5e-05
0.06376846134662628,0.9791907668113708,0.1771736741065979,0.953596293926239,2.5e-05
